name,salary,area_name,published_at
Инженер-программист,75000.0,Москва,2009-03-06T17:26:04+0300
Менеджер по развитию (направление – программное обеспечение),55000.0,Санкт-Петербург,2009-01-13T12:00:22+0300
Программист Java,55000.0,Москва,2009-02-18T15:36:56+0300
Региональный представитель по продаже в сфере IT,22500.0,Казань,2009-02-18T15:37:24+0300
Менеджер по продажам специализированного ПО,23000.0,Нижний Новгород,2009-02-18T15:42:02+0300
Разработчик приемных устройств,60000.0,Москва,2009-02-18T15:42:34+0300
Разработчик передающих устройств,60000.0,Москва,2009-02-18T15:43:38+0300
Менеджер по продажам интернет-услуг корпоративным клиентам,57500.0,Москва,2009-02-25T12:24:16+0300
Разработчик цифровых схем,62500.0,Москва,2009-02-18T15:50:06+0300
Менеджер по продажам,35000.0,Москва,2009-02-18T15:56:17+0300
Инженер технической поддержки,27500.0,Москва,2009-03-20T16:36:58+0300
Ведущий администратор БД Oracle,100000.0,Москва,2009-02-18T16:28:31+0300
Системный администратор (Helpdesk),20000.0,Москва,2009-03-25T11:25:42+0300
Инженер-программист С#,60000.0,Санкт-Петербург,2009-02-25T15:16:56+0300
Специалист на проект,40000.0,Москва,2009-02-18T17:27:33+0300
C# Senior Developer,70000.0,Санкт-Петербург,2009-05-25T13:43:15+0400
Системный администратор,35000.0,Москва,2009-02-18T18:06:53+0300
Проект менеджер,27500.0,Москва,2009-02-18T18:44:22+0300
Помощник менеджера проектов,20000.0,Москва,2009-02-18T18:47:38+0300
Монтажник СКС,23000.0,Москва,2009-02-25T15:20:50+0300
Программист-разработчик,38500.0,Москва,2009-02-18T19:42:08+0300
Системный администратор,25000.0,Саратов,2009-02-18T19:44:49+0300
Специалист по системам технической безопасности,50000.0,Москва,2009-02-18T19:55:58+0300
Выпускающий редактор учебных программ (English language),42500.0,Москва,2009-02-18T20:43:48+0300
Web-дизайнер,30000.0,Москва,2009-02-18T21:20:18+0300
Руководитель проекта,20000.0,Казань,2009-02-18T23:57:44+0300
Специалист телепродаж,7000.0,Западно-Сибирский округ,2009-02-19T08:30:57+0300
Специалист телепродаж,7000.0,Средне-Приволжский округ,2009-02-19T08:31:50+0300
Специалист телепродаж,7000.0,Северо-Центральный округ,2009-02-19T08:34:16+0300
